Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,delete
2008,Qualif Final,Sat,Sep 13th,8:30pm,Manly Warringah,38,St George Illawarra,6,S. Hayne,Brookvale,"19,227",
2008,Qualif Final,Sun,Sep 14th,4:00pm,Melbourne,15,Warriors,18,J. Robinson,Olympic Park,"15,193",
2008,Semi Final,Fri,Sep 19th,8:30pm,Warriors,30,Sydney,13,T. Archer,Mt Smart,"25,585",
2008,Semi Final,Sat,Sep 20th,7:45pm,Brisbane,14,Melbourne,16,S. Hayne,Suncorp,"50,466",
2008,Prelim Final,Fri,Sep 26th,7:45pm,Cronulla,0,Melbourne,28,T. Archer,SFS,"27,570",
2008,Prelim Final,Sat,Sep 27th,7:45pm,Manly Warringah,32,Warriors,6,S. Hayne,SFS,"32,095",
2008,Grand Final,Sun,Oct 5th,5:00pm,Manly Warringah,40,Melbourne,0,T. Archer,ANZ,"80,388",
2009,Round 1,Fri,Mar 13th,7:30pm,Brisbane,19,North Queensland,18,"J. Maxwell, T. De Las Heras",Suncorp,"45,022",
2009,Round 1,Fri,Mar 13th,7:30pm,Melbourne,17,St George Illawarra,16,"S. Hayne, G. Badger",Olympic Park,"14,870",
2009,Round 1,Sat,Mar 14th,7:30pm,Bulldogs,34,Manly Warringah,12,"B. Cummins, B. Suttor",ANZ,"19,791",
2009,Round 1,Sat,Mar 14th,7:30pm,Cronulla,18,Penrith,10,"J. Robinson, P. Haines",Toyota,"10,617",
2009,Round 1,Sat,Mar 14th,7:30pm,Warriors,26,Parramatta,18,"A. Klein, A. Shortall",Mt Smart,"20,102",
2009,Round 1,Sun,Mar 15th,1:00pm,Gold Coast Titans,34,Newcastle,20,"M. Cecchin, C. James",Skilled Park,"16,203",
2009,Round 1,Sun,Mar 15th,3:00pm,Sydney,12,South Sydney,52,"S. Lyons, T. De Las Heras",SFS,"24,486",
2009,Round 1,Mon,Mar 16th,7:00pm,Wests Tigers,34,Canberra,26,"J. Maxwell, G. Sutton",Campbelltown,"17,392",
2009,Round 2,Fri,Mar 20th,8:35pm,Brisbane,16,Melbourne,14,"B. Cummins, T. De Las Heras",Suncorp,"36,647",
2009,Round 2,Fri,Mar 20th,7:35pm,South Sydney,8,Parramatta,14,"S. Hayne, G. Badger",ANZ,"20,871",
2009,Round 2,Sat,Mar 21st,8:30pm,North Queensland,42,Wests Tigers,14,"J. Robinson, P. Haines",Dairy Farmers,"19,879",
2009,Round 2,Sat,Mar 21st,7:30pm,Penrith,26,Bulldogs,28,"M. Cecchin, C. James",CUA Stadium,"16,846",
2009,Round 2,Sat,Mar 21st,5:30pm,St George Illawarra,16,Gold Coast Titans,10,"A. Klein, A. Shortall",WIN Stadium,"13,329",
2009,Round 2,Sun,Mar 22nd,2:00pm,Canberra,4,Sydney,28,"J. Maxwell, G. Sutton",Canberra Stadium,"13,100",
2009,Round 2,Sun,Mar 22nd,3:00pm,Manly Warringah,24,Warriors,26,"S. Hayne, S. Lyons",Brookvale,"16,307",
2009,Round 2,Mon,Mar 23rd,7:00pm,Cronulla,12,Newcastle,24,"B. Cummins, B. Suttor",Toyota,"11,148",
2009,Round 3,Fri,Mar 27th,7:35pm,Gold Coast Titans,20,Bulldogs,12,"J. Maxwell, A. Shortall",Skilled Park,"19,854",
2009,Round 3,Fri,Mar 27th,7:35pm,Wests Tigers,40,Sydney,24,"T. Archer, G. Badger",SFS,"14,426",
2009,Round 3,Sat,Mar 28th,7:30pm,North Queensland,12,Melbourne,26,"S. Hayne, G. Sutton",Dairy Farmers,"21,489",
2009,Round 3,Sat,Mar 28th,7:30pm,Parramatta,18,Canberra,16,"S. Lyons, C. James",Parramatta,"11,116",
