Year,Round,Day,Date,Time,Home,H_PTS,Away,A_PTS,Referee/s,Stadium,Crowd,date_time,HomeWin,SOO,Home_w_percent,Away_w_percent,Period
2008,Round 11,Fri,May-23,7:45pm,Manly Warringah,18,St George Illawarra,20,J. Robinson,Brookvale,12058,2008-05-23 19:45:00,0.0,True,0.6666666666666666,0.3333333333333333,Origin
2008,Round 11,Sat,May-24,7:30pm,South Sydney,10,Melbourne,15,J. Maxwell,Central Coast,8761,2008-05-24 19:30:00,0.0,True,0.1111111111111111,0.6666666666666666,Origin
2008,Round 11,Sun,May-25,4:00pm,Warriors,12,Sydney,38,B. Cummins,Mt Smart,11922,2008-05-25 16:00:00,0.0,True,0.4444444444444444,0.6666666666666666,Origin
2008,Round 11,Sun,May-25,3:00pm,Wests Tigers,20,Gold Coast Titans,18,S. Hayne,Leichhardt,17493,2008-05-25 15:00:00,1.0,True,0.5555555555555556,0.7777777777777778,Origin
2008,Round 11,Mon,May-26,7:00pm,Bulldogs,30,Cronulla,22,T. Archer,ANZ,9289,2008-05-26 19:00:00,1.0,True,0.3333333333333333,0.6666666666666666,Origin
2008,Round 12,Fri,May-30,7:45pm,Brisbane,30,Parramatta,26,J. Robinson,Suncorp,25564,2008-05-30 19:45:00,1.0,True,0.6,0.4444444444444444,Origin
2008,Round 12,Fri,May-30,7:45pm,Canberra,18,Manly Warringah,31,S. Hampstead,Canberra Stadium,13120,2008-05-30 19:45:00,0.0,True,0.4444444444444444,0.6,Origin
2008,Round 12,Sat,May-31,5:30pm,Melbourne,46,Bulldogs,0,S. Hayne,Olympic Park,12251,2008-05-31 17:30:00,1.0,True,0.7,0.4,Origin
2008,Round 12,Sat,May-31,7:30pm,Newcastle,16,Warriors,18,J. Maxwell,EnergyAustralia,15489,2008-05-31 19:30:00,0.0,True,0.4444444444444444,0.4,Origin
2008,Round 12,Sat,May-31,7:30pm,North Queensland,18,Penrith,19,A. Shortall,Dairy Farmers,16553,2008-05-31 19:30:00,0.0,True,0.3,0.5555555555555556,Origin
2008,Round 12,Sun,Jun-1,3:00pm,Cronulla,30,Gold Coast Titans,14,B. Cummins,Toyota,8214,2008-06-01 15:00:00,1.0,True,0.6,0.7,Origin
2008,Round 12,Sun,Jun-1,2:00pm,South Sydney,12,St George Illawarra,26,G. Badger,ANZ,12978,2008-06-01 14:00:00,0.0,True,0.1,0.4,Origin
2008,Round 12,Mon,Jun-2,7:00pm,Sydney,19,Wests Tigers,10,T. Archer,SFS,15204,2008-06-02 19:00:00,1.0,True,0.7,0.6,Origin
2008,Round 13,Fri,Jun-6,7:45pm,St George Illawarra,28,Brisbane,10,B. Cummins,WIN Stadium,11432,2008-06-06 19:45:00,1.0,True,0.45454545454545453,0.6363636363636364,Origin
2008,Round 13,Fri,Jun-6,8:00pm,Warriors,28,South Sydney,35,T. De Las Heras,Mt Smart,13112,2008-06-06 20:00:00,0.0,True,0.45454545454545453,0.09090909090909091,Origin
2008,Round 13,Sat,Jun-7,5:30pm,Bulldogs,12,Newcastle,22,S. Hampstead,ANZ,9565,2008-06-07 17:30:00,0.0,True,0.36363636363636365,0.4,Origin
2008,Round 13,Sat,Jun-7,7:30pm,Parramatta,30,Canberra,12,A. Shortall,Parramatta,10195,2008-06-07 19:30:00,1.0,True,0.4,0.4,Origin
2008,Round 13,Sat,Jun-7,7:30pm,Wests Tigers,40,North Queensland,16,G. Badger,Campbelltown,10488,2008-06-07 19:30:00,1.0,True,0.5454545454545454,0.2727272727272727,Origin
2008,Round 13,Sun,Jun-8,3:00pm,Manly Warringah,42,Sydney,0,S. Hayne,Brookvale,13842,2008-06-08 15:00:00,1.0,True,0.6363636363636364,0.7272727272727273,Origin
2008,Round 13,Sun,Jun-8,2:00pm,Penrith,22,Cronulla,24,J. Maxwell,CUA Stadium,10543,2008-06-08 14:00:00,0.0,True,0.6,0.6363636363636364,Origin
2008,Round 13,Mon,Jun-9,7:00pm,Gold Coast Titans,18,Melbourne,0,J. Robinson,Skilled Park,19409,2008-06-09 19:00:00,1.0,True,0.6363636363636364,0.7272727272727273,Origin
2008,Round 14,Fri,Jun-13,7:45pm,Sydney,32,Penrith,12,S. Hampstead,SFS,9724,2008-06-13 19:45:00,1.0,True,0.6666666666666666,0.5454545454545454,Origin
2008,Round 14,Sat,Jun-14,7:30pm,Cronulla,24,Warriors,8,B. Cummins,Toyota,9023,2008-06-14 19:30:00,1.0,True,0.6666666666666666,0.4166666666666667,Origin
2008,Round 14,Sun,Jun-15,2:00pm,Canberra,34,Brisbane,16,J. Robinson,Canberra Stadium,11157,2008-06-15 14:00:00,1.0,True,0.36363636363636365,0.5833333333333334,Origin
2008,Round 14,Sun,Jun-15,3:00pm,Wests Tigers,6,Parramatta,44,T. Archer,ANZ,22107,2008-06-15 15:00:00,0.0,True,0.5833333333333334,0.45454545454545453,Origin
2008,Round 14,Mon,Jun-16,7:00pm,North Queensland,18,Newcastle,30,S. Hayne,Dairy Farmers,14234,2008-06-16 19:00:00,0.0,True,0.25,0.45454545454545453,Origin
2008,Round 15,Fri,Jun-20,7:45pm,Brisbane,19,Wests Tigers,18,S. Hampstead,Suncorp,27864,2008-06-20 19:45:00,1.0,True,0.5384615384615384,0.5384615384615384,Origin
2008,Round 15,Fri,Jun-20,7:45pm,St George Illawarra,13,Penrith,12,J. Maxwell,ANZ,9032,2008-06-20 19:45:00,1.0,True,0.5,0.5,Origin
2008,Round 15,Sat,Jun-21,5:30pm,Bulldogs,18,Canberra,58,G. Badger,ANZ,9845,2008-06-21 17:30:00,0.0,True,0.3333333333333333,0.4166666666666667,Origin
2008,Round 15,Sat,Jun-21,7:30pm,Melbourne,48,North Queensland,20,B. Sutton,Olympic Park,10880,2008-06-21 19:30:00,1.0,True,0.6666666666666666,0.23076923076923078,Origin
2008,Round 15,Sun,Jun-22,3:00pm,Cronulla,16,Parramatta,14,S. Hayne,Toyota,17547,2008-06-22 15:00:00,1.0,True,0.6923076923076923,0.5,Origin
2008,Round 15,Sun,Jun-22,2:00pm,Newcastle,14,Sydney,16,T. Archer,EnergyAustralia,19253,2008-06-22 14:00:00,0.0,True,0.5,0.6923076923076923,Origin
2008,Round 15,Sun,Jun-22,2:00pm,Warriors,14,Manly Warringah,20,T. De Las Heras,Mt Smart,7141,2008-06-22 14:00:00,0.0,True,0.38461538461538464,0.6666666666666666,Origin
2008,Round 15,Mon,Jun-23,7:00pm,South Sydney,24,Gold Coast Titans,23,S. Lyons,ANZ,9827,2008-06-23 19:00:00,1.0,True,0.16666666666666666,0.6666666666666666,Origin
2008,Round 16,Fri,Jun-27,7:45pm,Penrith,12,Brisbane,12,G. Badger,CUA Stadium,9963,2008-06-27 19:45:00,0.5,True,0.46153846153846156,0.5714285714285714,Origin
2008,Round 16,Fri,Jun-27,7:45pm,Sydney,24,Bulldogs,14,J. Maxwell,SFS,9271,2008-06-27 19:45:00,1.0,True,0.7142857142857143,0.3076923076923077,Origin
2008,Round 16,Sat,Jun-28,5:30pm,Gold Coast Titans,22,St George Illawarra,26,B. Sutton,Skilled Park,26453,2008-06-28 17:30:00,0.0,True,0.6153846153846154,0.5384615384615384,Origin
2008,Round 16,Sat,Jun-28,7:30pm,Manly Warringah,28,Newcastle,12,S. Hayne,Central Coast,13798,2008-06-28 19:30:00,1.0,True,0.6923076923076923,0.46153846153846156,Origin
