referee,team,with,without,difference
G. Reynolds,Manly Warringah,0.5882352941176471,0.5739130434782609,1.4322250639386191
G. Badger,Parramatta,0.4117647058823529,0.4146341463414634,-0.2869440459110473
J. Maxwell,Parramatta,0.4666666666666667,0.3812154696132597,8.545119705340698
A. Shortall,Parramatta,0.36666666666666664,0.4178743961352657,-5.120772946859908
A. Klein,Parramatta,0.4482758620689655,0.41204819277108434,3.622766929788118
M. Cecchin,Parramatta,0.39285714285714285,0.41586538461538464,-2.3008241758241788
B. Cummins,Parramatta,0.3333333333333333,0.4196642685851319,-8.633093525179858
G. Sutton,Parramatta,0.2857142857142857,0.42080378250591016,-13.508949679162447
G. Atkins,Parramatta,0.38095238095238093,0.3949843260188088,-1.4031945066427853
C. James,Parramatta,0.2857142857142857,0.42080378250591016,-13.508949679162447
H. Perenara,Parramatta,0.45,0.41544117647058826,3.4558823529411753
G. Reynolds,Parramatta,0.4444444444444444,0.41605839416058393,2.8386050283860484
S. Hayne,Parramatta,0.5,0.35714285714285715,14.285714285714285
T. Archer,Parramatta,0.4375,0.3641304347826087,7.33695652173913
A. Devcich,Parramatta,0.4375,0.3492647058823529,8.823529411764708
G. Badger,Newcastle,0.5882352941176471,0.35784313725490197,23.03921568627451
A. Klein,Newcastle,0.3225806451612903,0.3795620437956204,-5.698139863433011
A. Shortall,Newcastle,0.24,0.38369304556354916,-14.369304556354917
G. Reynolds,Newcastle,0.16666666666666666,0.3625,-19.583333333333332
M. Cecchin,Newcastle,0.375,0.3972972972972973,-2.229729729729729
A. Devcich,Newcastle,0.3181818181818182,0.38198757763975155,-6.380575945793337
J. Robinson,Newcastle,0.45454545454545453,0.47368421052631576,-1.9138755980861233
H. Perenara,Newcastle,0.2727272727272727,0.3125,-3.9772727272727293
C. James,Newcastle,0.3181818181818182,0.37857142857142856,-6.038961038961038
B. Cummins,Newcastle,0.47619047619047616,0.37054631828978624,10.564415790068992
J. Maxwell,Newcastle,0.5,0.39037433155080214,10.962566844919785
G. Sutton,Newcastle,0.5,0.39095744680851063,10.904255319148938
D. Munro,Newcastle,0.11764705882352941,0.26285714285714284,-14.521008403361343
S. Hayne,Newcastle,0.3125,0.4829059829059829,-17.04059829059829
